#do_sensitivity.py --input_csv sensitivity_info --bias .03 --output_dir sensitivity_output --covariate_dir ./covariates/
alpha,delta,Rsq
0.0001,0.5226622253482672,0.09658194757620565
0.0006000000000000001,0.08706681134997807,0.08286056890128973
0.0011,0.04746722825922452,0.08209055332367704
0.0016,0.03261738460019187,0.08185600649762527
0.0021,0.024838895064508124,0.08174965175978714
0.0026,0.020052132273318164,0.08169115201873495
0.0031,0.016809486511544316,0.0816550221979516
0.0036,0.0144675756835965,0.08163090630975352
0.0041,0.012696862618562798,0.08161388545522719
0.004600000000000001,0.011311087176362521,0.08160135555008625
0.0051,0.010197032409103478,0.08159182288314634
0.0056,0.009281915993140686,0.08158437598354593
0.0061,0.008516818661761951,0.08157843058837769
0.006600000000000001,0.007867645168470916,0.08157359682249765
0.0071,0.007309904561558887,0.08156960567934014
0.0076,0.006825550876608981,0.08156626622796875
0.0081,0.006400993942887452,0.08156343963032278
0.0086,0.006025804094482374,0.08156102278681944
0.0091,0.0056918438997481825,0.08155893771741803
0.0096,0.005392671225298817,0.08155712447725852
0.0101,0.00512311960772562,0.0815555363162276
0.0106,0.004878997388036686,0.08155413630093503
0.011099999999999999,0.004656868161112516,0.08155289491224696
0.0116,0.0044538880054749205,0.08155178830733668
0.0121,0.0042676830693115005,0.08155079704296789
0.0126,0.004096256302684865,0.08154990512441819
0.0131,0.003937915548777813,0.08154909928789128
0.0136,0.0037912174973639286,0.08154836845274234
0.0141,0.003654923563071599,0.08154770329881049
0.0146,0.0035279648297581955,0.08154709593703853
0.015099999999999999,0.003409413959578134,0.08154653965042423
0.0156,0.0032984625041531965,0.08154602868853982
0.0161,0.0031944024434751566,0.08154555810324808
0.0166,0.003096611061151212,0.08154512361637378
0.0171,0.0030045384731152147,0.08154472151237989
0.0176,0.002917697282126718,0.08154434855075303
0.0181,0.0028356539469939434,0.08154400189404103
0.0186,0.002758021543857554,0.08154367904840702
0.0191,0.0026844536644455817,0.08154337781425695
0.0196,0.0026146392482689143,0.08154309624502147
0.0201,0.002548298186130886,0.08154283261257975
0.0206,0.00248517756390247,0.08154258537812153
0.0211,0.0024250484403578704,0.08154235316748472
0.0216,0.0023677030725329216,0.08154213475019365
0.022099999999999998,0.0023129525177317312,0.0815419290215766
0.0226,0.002260624553850946,0.08154173498744594
0.0231,0.0022105618697918377,0.08154155175093385
0.0236,0.0021626204859047245,0.08154137850113743
0.0241,0.0021166683710585736,0.08154121450329398
0.0246,0.0020725842283606396,0.08154105909025217
0.0251,0.002030256426009237,0.08154091165504916
0.0256,0.0019895820534371863,0.08154077164442856
0.0261,0.0019504660859445233,0.08154063855316594
0.0266,0.001912820643545569,0.08154051191908811
0.0271,0.0018765643318624451,0.08154039131869043
0.0276,0.0018416216546605928,0.08154027636326902
0.0281,0.0018079224891029342,0.0815401666955029
0.0286,0.0017754016160472913,0.08154006198642394
0.0291,0.0017439982987667577,0.08153996193272578
0.0296,0.0017136559043673246,0.08153986625436868
0.0301,0.001684321562937971,0.08153977469244338
0.0306,0.0016559458601174187,0.08153968700726315
0.0311,0.0016284825593168187,0.08153960297665508
0.0316,0.0016018883503137091,0.08153952239442759
0.032100000000000004,0.0015761226213418466,0.08153944506899241
0.032600000000000004,0.0015511472521543975,0.08153937082212712
0.033100000000000004,0.0015269264258427038,0.08153929948785701
0.033600000000000005,0.0015034264574569516,0.08153923091144585
0.034100000000000005,0.0014806156377042139,0.08153916494848505
0.034600000000000006,0.0014584640901986652,0.081539101464066
0.035100000000000006,0.0014369436409126463,0.08153904033203102
0.03560000000000001,0.0014160276986290448,0.08153898143429315
0.03610000000000001,0.0013956911453283673,0.08153892466021588
0.0366,0.0013759102355604973,0.08153886990605032
0.0371,0.0013566625039534849,0.08153881707441944
0.0376,0.0013379266801019792,0.08153876607384955
0.0381,0.0013196826101573354,0.0815387168183398
0.0386,0.0013019111845117765,0.0815386692269703
0.0391,0.001284594271031067,0.08153862322354079
0.0396,0.0012677146533453224,0.08153857873623989
0.040100000000000004,0.0012512559737564808,0.08153853569734291
0.040600000000000004,0.001235202680364409,0.08153849404293119
0.041100000000000005,0.0012195399780524363,0.08153845371263554
0.041600000000000005,0.0012042537830075778,0.08153841464939983
0.042100000000000005,0.0011893306804815994,0.08153837679926214
0.042600000000000006,0.001174757885526653,0.08153834011115342
0.043100000000000006,0.0011605232064639335,0.08153830453671095
0.04360000000000001,0.001146615010865954,0.08153827003010576
0.0441,0.0011330221938529652,0.08153823654788409
0.0446,0.0011197341485218802,0.08153820404881766
0.0451,0.0011067407383422599,0.08153817249376823
0.0456,0.0010940322713683332,0.08153814184555966
0.0461,0.0010815994761292,0.08153811206885965
0.0466,0.0010694334790711643,0.08153808313006952
0.0471,0.0010575257834368659,0.0815380549972221
0.0476,0.0010458682494755547,0.08153802763988632
0.048100000000000004,0.0010344530758876625,0.08153800102907965
0.048600000000000004,0.0010232727824147465,0.0815379751371827
